date,harga_beras_nasional
2019-04-20,11460.0
2019-04-21,11430.0
2019-04-22,11400.0
2019-04-23,11370.0
2019-04-24,11340.0
2019-04-25,11310.0
2019-04-26,11280.0
2019-04-27,11250.0
2019-04-28,11220.0
2019-04-29,11190.0
2019-04-30,11160.0
2019-05-01,11130.0
2019-05-02,11100.0
2019-05-03,11800.0
2019-05-04,11700.0
2019-05-05,11683.333333333334
2019-05-06,11666.666666666666
2019-05-07,11650.0
2019-05-08,11650.0
2019-05-09,11650.0
2019-05-10,11675.0
2019-05-11,11700.0
2019-05-12,11700.0
2019-05-13,11709.52380952381
2019-05-14,11719.047619047618
2019-05-15,11728.57142857143
2019-05-16,11738.095238095239
2019-05-17,11747.619047619048
2019-05-18,11757.142857142857
2019-05-19,11766.666666666666
2019-05-20,11776.190476190477
2019-05-21,11785.714285714286
2019-05-22,11795.238095238095
2019-05-23,11804.761904761905
2019-05-24,11814.285714285714
2019-05-25,11823.809523809523
2019-05-26,11833.333333333334
2019-05-27,11842.857142857143
2019-05-28,11852.380952380952
2019-05-29,11861.904761904761
2019-05-30,11871.42857142857
2019-05-31,11880.952380952382
2019-06-01,11890.47619047619
2019-06-02,11900.0
2019-06-03,11850.0
2019-06-04,11750.0
2019-06-05,11650.0
2019-06-06,13100.0
2019-06-07,12375.0
2019-06-08,11650.0
2019-06-09,11650.0
2019-06-10,11675.0
2019-06-11,11700.0
2019-06-12,11700.0
2019-06-13,11705.263157894737
2019-06-14,11710.526315789473
2019-06-15,11715.78947368421
2019-06-16,11721.052631578947
2019-06-17,11726.315789473685
2019-06-18,11731.578947368422
2019-06-19,11736.842105263158
2019-06-20,11742.105263157895
2019-06-21,11747.368421052632
2019-06-22,11752.631578947368
2019-06-23,11757.894736842105
2019-06-24,11763.157894736842
2019-06-25,11768.421052631578
2019-06-26,11773.684210526315
2019-06-27,11778.947368421053
2019-06-28,11784.21052631579
2019-06-29,11789.473684210527
2019-06-30,11794.736842105263
2019-07-01,11800.0
2019-07-02,11900.0
2019-07-03,10900.0
2019-07-04,11250.0
2019-07-05,11600.0
2019-07-06,11500.0
2019-07-07,11575.0
2019-07-08,11650.0
2019-07-09,11675.0
2019-07-10,11700.0
2019-07-11,11700.0
2019-07-12,11707.142857142857
2019-07-13,11714.285714285714
2019-07-14,11721.42857142857
2019-07-15,11728.57142857143
2019-07-16,11735.714285714286
2019-07-17,11742.857142857143
2019-07-18,11750.0
2019-07-19,11757.142857142857
2019-07-20,11764.285714285714
2019-07-21,11771.42857142857
2019-07-22,11778.57142857143
2019-07-23,11785.714285714286
2019-07-24,11792.857142857143
2019-07-25,11800.0
2019-07-26,11807.142857142857
2019-07-27,11814.285714285714
2019-07-28,11821.42857142857
2019-07-29,11828.57142857143
2019-07-30,11835.714285714286
2019-07-31,11842.857142857143
2019-08-01,11850.0
2019-08-02,11900.0
2019-08-03,11850.0
2019-08-04,11700.0
2019-08-05,11600.0
2019-08-06,11625.0
2019-08-07,11650.0
2019-08-08,11650.0
2019-08-09,11675.0
2019-08-10,11700.0
2019-08-11,11700.0
2019-08-12,11707.142857142857
2019-08-13,11714.285714285714
2019-08-14,11721.42857142857
2019-08-15,11728.57142857143
2019-08-16,11735.714285714286
2019-08-17,11742.857142857143
2019-08-18,11750.0
2019-08-19,11757.142857142857
2019-08-20,11764.285714285714
2019-08-21,11771.42857142857
2019-08-22,11778.57142857143
2019-08-23,11785.714285714286
2019-08-24,11792.857142857143
2019-08-25,11800.0
2019-08-26,11807.142857142857
2019-08-27,11814.285714285714
2019-08-28,11821.42857142857
2019-08-29,11828.57142857143
2019-08-30,11835.714285714286
2019-08-31,11842.857142857143
2019-09-01,11850.0
2019-09-02,11800.0
2019-09-03,11750.0
2019-09-04,11700.0
2019-09-05,11600.0
2019-09-06,11625.0
2019-09-07,11650.0
2019-09-08,11650.0
