date,harga_beras_kateng
2019-06-09,13400.0
2019-06-10,13325.0
2019-06-11,13250.0
2019-06-12,13350.0
2019-06-13,13344.736842105263
2019-06-14,13339.473684210527
2019-06-15,13334.21052631579
2019-06-16,13328.947368421053
2019-06-17,13323.684210526315
2019-06-18,13318.421052631578
2019-06-19,13313.157894736842
2019-06-20,13307.894736842105
2019-06-21,13302.631578947368
2019-06-22,13297.368421052632
2019-06-23,13292.105263157895
2019-06-24,13286.842105263158
2019-06-25,13281.578947368422
2019-06-26,13276.315789473685
2019-06-27,13271.052631578947
2019-06-28,13265.78947368421
2019-06-29,13260.526315789473
2019-06-30,13255.263157894737
2019-07-01,13250.0
2019-07-02,13250.0
2019-07-03,13383.333333333334
2019-07-04,13516.666666666666
2019-07-05,13650.0
2019-07-06,13566.666666666666
2019-07-07,13483.333333333334
2019-07-08,13400.0
2019-07-09,13375.0
2019-07-10,13350.0
2019-07-11,13250.0
2019-07-12,13247.619047619048
2019-07-13,13245.238095238095
2019-07-14,13242.857142857143
2019-07-15,13240.47619047619
2019-07-16,13238.095238095239
2019-07-17,13235.714285714286
2019-07-18,13233.333333333334
2019-07-19,13230.952380952382
2019-07-20,13228.57142857143
2019-07-21,13226.190476190477
2019-07-22,13223.809523809523
2019-07-23,13221.42857142857
2019-07-24,13219.047619047618
2019-07-25,13216.666666666666
2019-07-26,13214.285714285714
2019-07-27,13211.904761904761
2019-07-28,13209.52380952381
2019-07-29,13207.142857142857
2019-07-30,13204.761904761905
2019-07-31,13202.380952380952
2019-08-01,13200.0
2019-08-02,13250.0
2019-08-03,13200.0
2019-08-04,13200.0
2019-08-05,13650.0
2019-08-06,13750.0
2019-08-07,13850.0
2019-08-08,13400.0
2019-08-09,13375.0
2019-08-10,13350.0
2019-08-11,13250.0
2019-08-12,13247.619047619048
2019-08-13,13245.238095238095
2019-08-14,13242.857142857143
2019-08-15,13240.47619047619
2019-08-16,13238.095238095239
2019-08-17,13235.714285714286
2019-08-18,13233.333333333334
2019-08-19,13230.952380952382
2019-08-20,13228.57142857143
2019-08-21,13226.190476190477
2019-08-22,13223.809523809523
2019-08-23,13221.42857142857
2019-08-24,13219.047619047618
2019-08-25,13216.666666666666
2019-08-26,13214.285714285714
2019-08-27,13211.904761904761
2019-08-28,13209.52380952381
2019-08-29,13207.142857142857
2019-08-30,13204.761904761905
2019-08-31,13202.380952380952
2019-09-01,13200.0
2019-09-02,13200.0
2019-09-03,13200.0
2019-09-04,13200.0
2019-09-05,13650.0
2019-09-06,13750.0
2019-09-07,13850.0
2019-09-08,13400.0
2019-09-09,13350.0
2019-09-10,13350.0
2019-09-11,13350.0
2019-09-12,13350.0
2019-09-13,13342.105263157895
2019-09-14,13334.21052631579
2019-09-15,13326.315789473685
2019-09-16,13318.421052631578
2019-09-17,13310.526315789473
2019-09-18,13302.631578947368
2019-09-19,13294.736842105263
2019-09-20,13286.842105263158
2019-09-21,13278.947368421053
2019-09-22,13271.052631578947
2019-09-23,13263.157894736842
2019-09-24,13255.263157894737
2019-09-25,13247.368421052632
2019-09-26,13239.473684210527
2019-09-27,13231.578947368422
2019-09-28,13223.684210526315
2019-09-29,13215.78947368421
2019-09-30,13207.894736842105
2019-10-01,13200.0
2019-10-02,13200.0
2019-10-03,13200.0
2019-10-04,13200.0
2019-10-05,13700.0
2019-10-06,13850.0
2019-10-07,13850.0
2019-10-08,13600.0
2019-10-09,13350.0
2019-10-10,13350.0
2019-10-11,13350.0
2019-10-12,13350.0
2019-10-13,13342.5
2019-10-14,13335.0
2019-10-15,13327.5
2019-10-16,13320.0
2019-10-17,13312.5
2019-10-18,13305.0
2019-10-19,13297.5
2019-10-20,13290.0
2019-10-21,13282.5
2019-10-22,13275.0
2019-10-23,13267.5
2019-10-24,13260.0
2019-10-25,13252.5
2019-10-26,13245.0
2019-10-27,13237.5
2019-10-28,13230.0
2019-10-29,13222.5
2019-10-30,13215.0
2019-10-31,13207.5
2019-11-01,13200.0
2019-11-02,13250.0
2019-11-03,13200.0
2019-11-04,13200.0
2019-11-05,13525.0
2019-11-06,13850.0
2019-11-07,13800.0
2019-11-08,13575.0
2019-11-09,13350.0
2019-11-10,13350.0
2019-11-11,13250.0
2019-11-12,13350.0
2019-11-13,13345.0
2019-11-14,13340.0
2019-11-15,13335.0
2019-11-16,13330.0
2019-11-17,13325.0
2019-11-18,13320.0
2019-11-19,13315.0
