date,harga_beras_kateng,harga_beras_nasional,global_price,lag_nasional_1,lag_global_1,lag_nasional_3,lag_global_3,lag_nasional_7,lag_global_7,lag_nasional_30,lag_global_30,rolling_nasional_7,rolling_global_7,rolling_nasional_14,rolling_global_14,rolling_nasional_30,rolling_global_30
2022-03-07,14150.0,11700.0,422.0,11700.0,422.0,11700.0,422.0,11685.29411764706,427.0,11700.0,427.0,11692.857142857143,422.0,11742.01680672269,424.5,11877.5,425.8333333333333
2022-03-08,14300.0,11700.0,422.0,11700.0,422.0,11700.0,422.0,11650.0,422.0,11700.0,427.0,11700.0,422.0,11727.941176470587,424.14285714285717,11877.5,425.6666666666667
2022-03-09,14625.0,11875.0,422.0,11700.0,422.0,11700.0,422.0,11700.0,422.0,11700.0,427.0,11725.0,422.0,11728.886554621848,423.7857142857143,11883.333333333334,425.5
2022-03-10,14950.0,12050.0,422.0,11875.0,422.0,11700.0,422.0,11700.0,422.0,11700.0,427.0,11775.0,422.0,11744.852941176472,423.42857142857144,11895.0,425.3333333333333
2022-03-11,15100.0,12100.0,422.0,12050.0,422.0,11700.0,422.0,11700.0,422.0,11850.0,427.0,11832.142857142857,422.0,11766.911764705883,423.07142857142856,11903.333333333334,425.1666666666667
2022-03-12,15040.47619047619,12080.952380952382,422.0,12100.0,422.0,11875.0,422.0,11700.0,422.0,11975.0,427.0,11886.56462585034,422.0,11790.13105242097,422.7142857142857,11906.86507936508,425.0
2022-03-13,14980.952380952382,12061.90476190476,422.0,12080.952380952382,422.0,12050.0,422.0,11700.0,422.0,12100.0,427.0,11938.26530612245,422.0,11814.510804321728,422.35714285714283,11905.595238095239,424.8333333333333
2022-03-14,14921.42857142857,12042.857142857143,422.0,12061.90476190476,422.0,12100.0,422.0,11700.0,422.0,12250.0,427.0,11987.244897959185,422.0,11840.051020408164,422.0,11898.690476190475,424.6666666666667
2022-03-15,14861.90476190476,12023.809523809525,422.0,12042.857142857143,422.0,12080.952380952382,422.0,11700.0,422.0,12214.70588235294,427.0,12033.503401360545,422.0,11866.751700680272,422.0,11892.327264239027,424.5
2022-03-16,14802.380952380952,12004.761904761905,422.0,12023.809523809525,422.0,12061.90476190476,422.0,11875.0,422.0,12179.411764705885,427.0,12052.04081632653,422.0,11888.520408163266,422.0,11886.505602240899,424.3333333333333
2022-03-17,14742.857142857143,11985.714285714286,422.0,12004.761904761905,422.0,12042.857142857143,422.0,12050.0,422.0,12144.117647058823,427.0,12042.857142857143,422.0,11908.92857142857,422.0,11881.225490196079,424.1666666666667
2022-03-18,14683.333333333334,11966.666666666666,422.0,11985.714285714286,422.0,12023.809523809525,422.0,12100.0,422.0,12108.823529411764,427.0,12023.809523809525,422.0,11927.976190476189,422.0,11876.486928104576,424.0
2022-03-19,14623.809523809525,11947.619047619048,422.0,11966.666666666666,422.0,12004.761904761905,422.0,12080.952380952382,422.0,12073.529411764706,427.0,12004.761904761905,422.0,11945.663265306122,422.0,11872.289915966388,423.8333333333333
2022-03-20,14564.285714285714,11928.57142857143,422.0,11947.619047619048,422.0,11985.714285714286,422.0,12061.90476190476,422.0,12038.235294117649,427.0,11985.714285714286,422.0,11961.989795918367,422.0,11868.634453781513,423.6666666666667
2022-03-21,14504.761904761905,11909.52380952381,422.0,11928.57142857143,422.0,11966.666666666666,422.0,12042.857142857143,422.0,12002.941176470587,427.0,11966.666666666666,422.0,11976.955782312925,422.0,11865.520541549953,423.5
2022-03-22,14445.238095238095,11890.47619047619,422.0,11909.52380952381,422.0,11947.619047619048,422.0,12023.809523809525,422.0,11967.64705882353,427.0,11947.619047619048,422.0,11990.561224489795,422.0,11862.948179271709,423.3333333333333
2022-03-23,14385.714285714286,11871.42857142857,422.0,11890.47619047619,422.0,11928.57142857143,422.0,12004.761904761905,422.0,11932.35294117647,427.0,11928.57142857143,422.0,11990.30612244898,422.0,11860.91736694678,423.1666666666667
2022-03-24,14326.190476190475,11852.380952380952,422.0,11871.42857142857,422.0,11909.52380952381,422.0,11985.714285714286,422.0,11897.058823529413,427.0,11909.523809523811,422.0,11976.190476190475,422.0,11859.428104575165,423.0
2022-03-25,14266.666666666666,11833.333333333334,422.0,11852.380952380952,422.0,11890.47619047619,422.0,11966.666666666666,422.0,11861.764705882351,427.0,11890.476190476189,422.0,11957.142857142857,422.0,11858.480392156864,422.8333333333333
2022-03-26,14207.142857142857,11814.285714285714,422.0,11833.333333333334,422.0,11871.42857142857,422.0,11947.619047619048,422.0,11826.470588235294,427.0,11871.42857142857,422.0,11938.095238095239,422.0,11858.074229691878,422.6666666666667
2022-03-27,14147.619047619048,11795.238095238095,422.0,11814.285714285714,422.0,11852.380952380952,422.0,11928.57142857143,422.0,11791.176470588236,427.0,11852.38095238095,422.0,11919.04761904762,422.0,11858.209617180204,422.5
2022-03-28,14088.09523809524,11776.190476190475,422.0,11795.238095238095,422.0,11833.333333333334,422.0,11909.52380952381,422.0,11755.882352941177,427.0,11833.333333333334,422.0,11900.0,422.0,11858.88655462185,422.3333333333333
2022-03-29,14028.571428571428,11757.142857142857,422.0,11776.190476190475,422.0,11814.285714285714,422.0,11890.47619047619,422.0,11720.588235294115,427.0,11814.285714285714,422.0,11880.95238095238,422.0,11860.105042016807,422.1666666666667
2022-03-30,13969.047619047618,11738.09523809524,422.0,11757.142857142857,422.0,11795.238095238095,422.0,11871.42857142857,422.0,11685.29411764706,427.0,11795.238095238095,422.0,11861.904761904763,422.0,11861.86507936508,422.0
2022-03-31,13909.52380952381,11719.047619047618,422.0,11738.09523809524,422.0,11776.190476190475,422.0,11852.380952380952,422.0,11650.0,422.0,11776.190476190475,422.0,11842.857142857143,422.0,11864.166666666666,422.0
2022-04-01,13850.0,11700.0,431.0,11719.047619047618,422.0,11757.142857142857,422.0,11833.333333333334,422.0,11700.0,422.0,11757.142857142857,423.2857142857143,11823.809523809525,422.64285714285717,11864.166666666666,422.3
2022-04-02,14100.0,11700.0,431.0,11700.0,431.0,11738.09523809524,422.0,11814.285714285714,422.0,11700.0,422.0,11740.816326530612,424.57142857142856,11806.122448979591,423.2857142857143,11864.166666666666,422.6
2022-04-03,14150.0,11700.0,431.0,11700.0,431.0,11719.047619047618,422.0,11795.238095238095,422.0,11700.0,422.0,11727.21088435374,425.85714285714283,11789.795918367348,423.92857142857144,11864.166666666666,422.9
2022-04-04,14100.0,11750.0,431.0,11700.0,431.0,11700.0,431.0,11776.190476190475,422.0,11700.0,422.0,11723.469387755102,427.14285714285717,11778.401360544218,424.57142857142856,11865.833333333334,423.2
2022-04-05,14066.666666666666,13750.0,431.0,11750.0,431.0,11700.0,431.0,11757.142857142857,422.0,11700.0,422.0,12008.163265306122,428.42857142857144,11911.224489795919,425.2142857142857,11934.166666666666,423.5
2022-04-06,14033.333333333334,12725.0,431.0,13750.0,431.0,11700.0,431.0,11738.09523809524,422.0,11700.0,422.0,12149.149659863946,429.7142857142857,11972.19387755102,425.85714285714283,11968.333333333334,423.8
2022-04-07,14000.0,11700.0,431.0,12725.0,431.0,11750.0,431.0,11719.047619047618,422.0,11700.0,422.0,12146.42857142857,431.0,11961.309523809525,426.5,11968.333333333334,424.1
2022-04-08,14350.0,11700.0,431.0,11700.0,431.0,13750.0,431.0,11700.0,431.0,11875.0,422.0,12146.42857142857,431.0,11951.785714285714,427.14285714285717,11962.5,424.4
2022-04-09,14650.0,11875.0,431.0,11700.0,431.0,12725.0,431.0,11700.0,431.0,12050.0,422.0,12171.42857142857,431.0,11956.122448979591,427.7857142857143,11956.666666666666,424.7
2022-04-10,14950.0,12050.0,431.0,11875.0,431.0,11700.0,431.0,11700.0,431.0,12100.0,422.0,12221.42857142857,431.0,11974.319727891156,428.42857142857144,11955.0,425.0
2022-04-11,15100.0,12100.0,431.0,12050.0,431.0,11700.0,431.0,11750.0,431.0,12080.952380952382,422.0,12271.42857142857,431.0,11997.448979591836,429.07142857142856,11955.63492063492,425.3
2022-04-12,15037.5,12077.5,431.0,12100.0,431.0,11875.0,431.0,13750.0,431.0,12061.90476190476,422.0,12032.5,431.0,12020.331632653062,429.7142857142857,11956.154761904761,425.6
2022-04-13,14975.0,12055.0,431.0,12077.5,431.0,12050.0,431.0,12725.0,431.0,12042.857142857143,422.0,11936.785714285714,431.0,12042.967687074832,430.35714285714283,11956.559523809525,425.9
2022-04-14,14912.5,12032.5,431.0,12055.0,431.0,12100.0,431.0,11700.0,431.0,12023.809523809525,422.0,11984.285714285714,431.0,12065.357142857143,431.0,11956.849206349207,426.2
2022-04-15,14850.0,12010.0,431.0,12032.5,431.0,12077.5,431.0,11700.0,431.0,12004.761904761905,422.0,12028.57142857143,431.0,12087.5,431.0,11957.02380952381,426.5
2022-04-16,14787.5,11987.5,431.0,12010.0,431.0,12055.0,431.0,11875.0,431.0,11985.714285714286,422.0,12044.642857142857,431.0,12108.035714285714,431.0,11957.083333333334,426.8
2022-04-17,14725.0,11965.0,431.0,11987.5,431.0,12032.5,431.0,12050.0,431.0,11966.666666666666,422.0,12032.5,431.0,12126.964285714286,431.0,11957.027777777777,427.1
