harga_beras_kateng,date,harga_beras_nasional,lag_nasional_1,rolling_nasional_7,lag_nasional_3,rolling_nasional_14,rolling_global_30,lag_global_30,rolling_global_14,lag_global_7,global_price
19150.0,2024-03-06,15250.0,15350.0,15118.650793650795,15333.333333333334,14935.714285714286,621.8,624.0,619.2857142857143,624.0,613.0
18950.0,2024-03-07,15250.0,15250.0,15207.142857142857,15700.0,14964.68253968254,621.4333333333333,624.0,618.5,624.0,613.0
19000.0,2024-03-08,15250.0,15250.0,15300.0,15350.0,14995.833333333332,621.0666666666667,624.0,617.7142857142857,613.0,613.0
19050.0,2024-03-09,15250.0,15250.0,15340.476190476193,15250.0,15029.166666666668,620.7,624.0,616.9285714285714,613.0,613.0
18350.0,2024-03-10,15200.0,15250.0,15321.42857142857,15250.0,15061.111111111111,620.3333333333334,624.0,616.1428571428571,613.0,613.0
18250.0,2024-03-11,15175.0,15200.0,15246.42857142857,15250.0,15093.452380952382,619.9666666666667,624.0,615.3571428571429,613.0,613.0
18150.0,2024-03-12,15150.0,15175.0,15217.857142857143,15250.0,15126.190476190475,619.6,624.0,614.5714285714286,613.0,613.0
18182.5,2024-03-13,15122.5,15150.0,15199.642857142857,15200.0,15159.146825396823,619.2333333333333,624.0,613.7857142857143,613.0,613.0
18215.0,2024-03-14,15095.0,15122.5,15177.5,15175.0,15192.32142857143,618.8666666666667,624.0,613.0,613.0,613.0
18247.5,2024-03-15,15067.5,15095.0,15151.42857142857,15150.0,15225.714285714286,618.5,624.0,613.0,613.0,613.0
18280.0,2024-03-16,15040.0,15067.5,15121.42857142857,15122.5,15230.952380952382,618.1333333333333,624.0,613.0,613.0,613.0
18312.5,2024-03-17,15012.5,15040.0,15094.642857142857,15095.0,15208.035714285714,617.7666666666667,624.0,613.0,613.0,613.0
18345.0,2024-03-18,14985.0,15012.5,15067.5,15067.5,15156.964285714286,617.4,624.0,613.0,613.0,613.0
18377.5,2024-03-19,14957.5,14985.0,15040.0,15040.0,15128.92857142857,617.0333333333333,624.0,613.0,613.0,613.0
18410.0,2024-03-20,14930.0,14957.5,15012.5,15012.5,15106.07142857143,616.6666666666666,624.0,613.0,613.0,613.0
18442.5,2024-03-21,14902.5,14930.0,14985.0,14985.0,15081.25,616.3,624.0,613.0,613.0,613.0
18475.0,2024-03-22,14875.0,14902.5,14957.5,14957.5,15054.464285714286,615.9333333333333,624.0,613.0,613.0,613.0
18507.5,2024-03-23,14847.5,14875.0,14930.0,14930.0,15025.714285714286,615.5666666666667,624.0,613.0,613.0,613.0
18540.0,2024-03-24,14820.0,14847.5,14902.5,14902.5,14998.57142857143,615.2,624.0,613.0,613.0,613.0
18572.5,2024-03-25,14792.5,14820.0,14875.0,14875.0,14971.25,614.8333333333334,624.0,613.0,613.0,613.0
18605.0,2024-03-26,14765.0,14792.5,14847.5,14847.5,14943.75,614.4666666666667,624.0,613.0,613.0,613.0
18637.5,2024-03-27,14737.5,14765.0,14820.0,14820.0,14916.25,614.1,624.0,613.0,613.0,613.0
