date,harga_beras_kateng,harga_beras_nasional,global_price
2022-01-10,14925.0,11975.0,427.0
2022-01-11,15050.0,12100.0,427.0
2022-01-12,15900.0,12200.0,427.0
2022-01-13,15814.285714285714,12176.190476190475,427.0
2022-01-14,15728.57142857143,12152.380952380952,427.0
2022-01-15,15642.857142857143,12128.57142857143,427.0
2022-01-16,15557.142857142857,12104.761904761905,427.0
2022-01-17,15471.42857142857,12080.952380952382,427.0
2022-01-18,15385.714285714286,12057.142857142857,427.0
2022-01-19,15300.0,12033.333333333334,427.0
2022-01-20,15214.285714285714,12009.52380952381,427.0
2022-01-21,15128.57142857143,11985.714285714286,427.0
2022-01-22,15042.857142857143,11961.90476190476,427.0
2022-01-23,14957.142857142857,11938.09523809524,427.0
2022-01-24,14871.42857142857,11914.285714285714,427.0
2022-01-25,14785.714285714286,11890.47619047619,427.0
2022-01-26,14700.0,11866.666666666666,427.0
2022-01-27,14614.285714285714,11842.857142857143,427.0
2022-01-28,14528.571428571428,11819.047619047618,427.0
2022-01-29,14442.857142857143,11795.238095238095,427.0
2022-01-30,14357.142857142857,11771.42857142857,427.0
2022-01-31,14271.42857142857,11747.619047619048,427.0
2022-02-01,14185.714285714286,11723.809523809525,427.0
2022-02-02,14100.0,11700.0,427.0
2022-02-03,14150.0,11700.0,427.0
2022-02-04,14100.0,11700.0,427.0
2022-02-05,14050.0,11700.0,427.0
2022-02-06,14000.0,11700.0,427.0
2022-02-07,14150.0,11700.0,427.0
2022-02-08,14300.0,11700.0,427.0
2022-02-09,14900.0,11850.0,427.0
2022-02-10,15000.0,11975.0,427.0
2022-02-11,15100.0,12100.0,427.0
2022-02-12,15900.0,12250.0,427.0
2022-02-13,15779.411764705885,12214.70588235294,427.0
2022-02-14,15658.823529411764,12179.411764705885,427.0
2022-02-15,15538.235294117649,12144.117647058823,427.0
2022-02-16,15417.64705882353,12108.823529411764,427.0
2022-02-17,15297.058823529413,12073.529411764706,427.0
2022-02-18,15176.470588235294,12038.235294117649,427.0
2022-02-19,15055.882352941177,12002.941176470587,427.0
2022-02-20,14935.29411764706,11967.64705882353,427.0
2022-02-21,14814.70588235294,11932.35294117647,427.0
2022-02-22,14694.117647058823,11897.058823529413,427.0
2022-02-23,14573.529411764706,11861.764705882351,427.0
2022-02-24,14452.941176470587,11826.470588235294,427.0
2022-02-25,14332.35294117647,11791.176470588236,427.0
2022-02-26,14211.764705882351,11755.882352941177,427.0
2022-02-27,14091.176470588236,11720.588235294115,427.0
2022-02-28,13970.588235294115,11685.29411764706,427.0
2022-03-01,13850.0,11650.0,422.0
2022-03-02,14100.0,11700.0,422.0
2022-03-03,14075.0,11700.0,422.0
2022-03-04,14050.0,11700.0,422.0
2022-03-05,14025.0,11700.0,422.0
2022-03-06,14000.0,11700.0,422.0
2022-03-07,14150.0,11700.0,422.0
2022-03-08,14300.0,11700.0,422.0
2022-03-09,14625.0,11875.0,422.0
2022-03-10,14950.0,12050.0,422.0
2022-03-11,15100.0,12100.0,422.0
2022-03-12,15040.47619047619,12080.952380952382,422.0
2022-03-13,14980.952380952382,12061.90476190476,422.0
2022-03-14,14921.42857142857,12042.857142857143,422.0
2022-03-15,14861.90476190476,12023.809523809525,422.0
2022-03-16,14802.380952380952,12004.761904761905,422.0
2022-03-17,14742.857142857143,11985.714285714286,422.0
2022-03-18,14683.333333333334,11966.666666666666,422.0
2022-03-19,14623.809523809525,11947.619047619048,422.0
2022-03-20,14564.285714285714,11928.57142857143,422.0
2022-03-21,14504.761904761905,11909.52380952381,422.0
2022-03-22,14445.238095238095,11890.47619047619,422.0
2022-03-23,14385.714285714286,11871.42857142857,422.0
2022-03-24,14326.190476190475,11852.380952380952,422.0
2022-03-25,14266.666666666666,11833.333333333334,422.0
2022-03-26,14207.142857142857,11814.285714285714,422.0
2022-03-27,14147.619047619048,11795.238095238095,422.0
2022-03-28,14088.09523809524,11776.190476190475,422.0
2022-03-29,14028.571428571428,11757.142857142857,422.0
2022-03-30,13969.047619047618,11738.09523809524,422.0
2022-03-31,13909.52380952381,11719.047619047618,422.0
2022-04-01,13850.0,11700.0,431.0
2022-04-02,14100.0,11700.0,431.0
2022-04-03,14150.0,11700.0,431.0
2022-04-04,14100.0,11750.0,431.0
2022-04-05,14066.666666666666,13750.0,431.0
2022-04-06,14033.333333333334,12725.0,431.0
2022-04-07,14000.0,11700.0,431.0
2022-04-08,14350.0,11700.0,431.0
2022-04-09,14650.0,11875.0,431.0
2022-04-10,14950.0,12050.0,431.0
2022-04-11,15100.0,12100.0,431.0
2022-04-12,15037.5,12077.5,431.0
2022-04-13,14975.0,12055.0,431.0
2022-04-14,14912.5,12032.5,431.0
2022-04-15,14850.0,12010.0,431.0
2022-04-16,14787.5,11987.5,431.0
2022-04-17,14725.0,11965.0,431.0
2022-04-18,14662.5,11942.5,431.0
2022-04-19,14600.0,11920.0,431.0
2022-04-20,14537.5,11897.5,431.0
2022-04-21,14475.0,11875.0,431.0
2022-04-22,14412.5,11852.5,431.0
2022-04-23,14350.0,11830.0,431.0
2022-04-24,14287.5,11807.5,431.0
2022-04-25,14225.0,11785.0,431.0
2022-04-26,14162.5,11762.5,431.0
2022-04-27,14100.0,11740.0,431.0
2022-04-28,14037.5,11717.5,431.0
2022-04-29,13975.0,11695.0,431.0
2022-04-30,13912.5,11672.5,431.0
2022-05-01,13850.0,11650.0,464.0
2022-05-02,13933.333333333334,11666.666666666666,464.0
2022-05-03,14016.666666666666,11683.333333333334,464.0
2022-05-04,14100.0,11700.0,464.0
2022-05-05,14066.666666666666,12350.0,464.0
2022-05-06,14033.333333333334,12025.0,464.0
2022-05-07,14000.0,11700.0,464.0
2022-05-08,14350.0,11700.0,464.0
2022-05-09,14900.0,11850.0,464.0
2022-05-10,14950.0,12050.0,464.0
2022-05-11,15425.0,12175.0,464.0
2022-05-12,15900.0,12300.0,464.0
2022-05-13,15797.5,12267.5,464.0
2022-05-14,15695.0,12235.0,464.0
2022-05-15,15592.5,12202.5,464.0
2022-05-16,15490.0,12170.0,464.0
2022-05-17,15387.5,12137.5,464.0
2022-05-18,15285.0,12105.0,464.0
2022-05-19,15182.5,12072.5,464.0
2022-05-20,15080.0,12040.0,464.0
2022-05-21,14977.5,12007.5,464.0
2022-05-22,14875.0,11975.0,464.0
2022-05-23,14772.5,11942.5,464.0
2022-05-24,14670.0,11910.0,464.0
2022-05-25,14567.5,11877.5,464.0
2022-05-26,14465.0,11845.0,464.0
2022-05-27,14362.5,11812.5,464.0
2022-05-28,14260.0,11780.0,464.0
2022-05-29,14157.5,11747.5,464.0
2022-05-30,14055.0,11715.0,464.0
2022-05-31,13952.5,11682.5,464.0
2022-06-01,13850.0,11650.0,464.0
2022-06-02,13916.666666666666,11666.666666666666,464.0
2022-06-03,13983.333333333334,11683.333333333334,464.0
2022-06-04,14050.0,11700.0,464.0
2022-06-05,14025.0,12350.0,464.0
2022-06-06,14000.0,11700.0,464.0
2022-06-07,14000.0,11700.0,464.0
2022-06-08,14450.0,11775.0,464.0
2022-06-09,14900.0,11850.0,464.0
2022-06-10,14950.0,12050.0,464.0
2022-06-11,15450.0,12175.0,464.0
2022-06-12,15950.0,12300.0,464.0
2022-06-13,15839.473684210529,12268.421052631578,464.0
2022-06-14,15728.947368421052,12236.842105263158,464.0
2022-06-15,15618.421052631578,12205.263157894737,464.0
2022-06-16,15507.894736842103,12173.684210526317,464.0
2022-06-17,15397.368421052632,12142.105263157897,464.0
2022-06-18,15286.842105263158,12110.526315789471,464.0
2022-06-19,15176.315789473683,12078.947368421052,464.0
2022-06-20,15065.78947368421,12047.368421052632,464.0
2022-06-21,14955.263157894737,12015.78947368421,464.0
2022-06-22,14844.736842105263,11984.21052631579,464.0
2022-06-23,14734.21052631579,11952.631578947368,464.0
2022-06-24,14623.684210526317,11921.052631578948,464.0
2022-06-25,14513.157894736842,11889.473684210529,464.0
2022-06-26,14402.631578947368,11857.894736842103,464.0
2022-06-27,14292.105263157897,11826.315789473683,464.0
2022-06-28,14181.578947368422,11794.736842105263,464.0
2022-06-29,14071.052631578948,11763.157894736842,464.0
2022-06-30,13960.526315789471,11731.578947368422,464.0
2022-07-01,13850.0,11700.0,418.0
2022-07-02,14100.0,11750.0,418.0
2022-07-03,14150.0,11700.0,418.0
2022-07-04,14050.0,11700.0,418.0
2022-07-05,14025.0,11675.0,418.0
2022-07-06,14000.0,11650.0,418.0
2022-07-07,14000.0,11700.0,418.0
2022-07-08,14450.0,11775.0,418.0
2022-07-09,14900.0,11850.0,418.0
2022-07-10,14950.0,12050.0,418.0
2022-07-11,15100.0,12100.0,418.0
2022-07-12,15950.0,12350.0,418.0
2022-07-13,15864.285714285714,12321.42857142857,418.0
2022-07-14,15778.57142857143,12292.857142857143,418.0
2022-07-15,15692.857142857143,12264.285714285714,418.0
2022-07-16,15607.142857142857,12235.714285714286,418.0
2022-07-17,15521.42857142857,12207.142857142857,418.0
